id;abreviation;name;extent
1;ABW;Aruba;BOX(-70.0624080069999 12.417669989,-69.8768204419999 12.6321475280001)
2;AFG;Afghanistan;BOX(60.4867777910001 29.3866053260001,74.8923067630001 38.4736734020001)
3;AGO;Angola;BOX(11.6693941430001 -18.0314047239998,24.0617143150001 -4.39120371499996)
4;AIA;Anguilla;BOX(-63.4288223949999 18.1690941430001,-62.9726456369999 18.6012637390001)
6;ALA;Aland Islands;BOX(19.5131942070001 59.9044863950001,21.0966903000001 60.4807803410001)
5;ALB;Albania;BOX(19.2720325110001 39.637013245,21.0366793210001 42.6548135380001)
7;AND;Andorra;BOX(1.4064563390001 42.4286774700001,1.76509078000015 42.649361674)
8;ARE;United Arab Emirates;BOX(51.5693465500001 22.6209459430001,56.3836369150001 26.0747919720001)
9;ARG;Argentina;BOX(-73.5880358489999 -55.0520158829998,-53.6615518799999 -21.7869377639999)
10;ARM;Armenia;BOX(43.4362939860001 38.8637012740001,46.6026123460001 41.2904523730002)
11;ASM;American Samoa;BOX(-171.086537239 -14.5328915339999,-168.160471158 -11.0513648419999)
12;ATA;Antarctica;BOX(-180 -90,180 -60.516208592)
13;ATF;French Southern and Antarctic Lands;BOX(39.7282820970001 -49.7216122379999,77.5852156910001 -11.5506324199998)
14;ATG;Antigua and Barbuda;BOX(-61.8941544259999 16.9892438820001,-61.6675919259999 17.7276878930001)
15;AUS;Australia;BOX(112.919444207 -54.750420831,159.106455925 -9.24016692499987)
16;AUT;Austria;BOX(9.52115482500011 46.3786430870001,17.1483378500001 49.0097744750001)
17;AZE;Azerbaijan;BOX(44.7745585530002 38.392644755,50.6257430350001 41.8904415900002)
18;BDI;Burundi;BOX(28.9868917230001 -4.46334401499993,30.8339624430001 -2.30306243899987)
19;BEL;Belgium;BOX(2.52179992769047 49.495222881,6.37452518700007 51.4962376910001)
20;BEN;Benin;BOX(0.759880818000113 6.21389923179639,3.83741906700001 12.3992442830001)
21;BFA;Burkina Faso;BOX(-5.52257808499988 9.39188262900012,2.39016890400009 15.0799075320001)
22;BGD;Bangladesh;BOX(88.0217895920001 20.738714911,92.6428511970002 26.6235440070001)
23;BGR;Bulgaria;BOX(22.3450232340001 41.2381041470001,28.6035262380001 44.228434539)
24;BHR;Bahrain;BOX(50.448903842 25.7895368510001,50.6456598131816 26.242580471)
25;BHS;Bahamas;BOX(-79.5943497389999 20.9123989090001,-72.7461645169999 26.9284121770001)
26;BIH;Bosnia and Herzegovina;BOX(15.7160738520001 42.5592121380002,19.618884725 45.2845238250002)
27;BLM;Saint-Barthelemy;BOX(-62.8673396479999 17.8819847680001,-62.7916560539999 17.9291445980001)
28;BLR;Belarus;BOX(23.165644979 51.2351683560001,32.7195321040001 56.1568059290001)
29;BLZ;Belize;BOX(-89.2365122079999 15.8796519990001,-87.7830704419999 18.4907587690001)
30;BMU;Bermuda;BOX(-64.8859939889704 32.2480773815958,-64.6476307056406 32.3886579450001)
31;BOL;Bolivia;BOX(-69.6664922699999 -22.8972575879999,-57.4656607669999 -9.67982147199997)
32;BRA;Brazil;BOX(-74.018474691 -33.742280375,-28.8770645819999 5.26722483300009)
33;BRB;Barbados;BOX(-59.6542048819999 13.051174221,-59.4269099599999 13.344549872)
34;BRN;Brunei Darussalam;BOX(113.99878991 4.01668101000011,115.360741008 5.05719635600018)
35;BTN;Bhutan;BOX(88.7300667720001 26.6961493940002,92.0887764890001 28.3583989307863)
36;BWA;Botswana;BOX(19.9783459880001 -26.891794128,29.3500736890001 -17.7818075559999)
37;CAF;Central African Republic;BOX(14.3872660720001 2.23645375600006,27.4413013100001 11.0008283490001)
38;CAN;Canada;BOX(-141.005548637109 41.6690855920001,-52.616607226 83.1165225280001)
39;CHE;Switzerland;BOX(5.95480920400013 45.820718486,10.466626831 47.8011660770001)
40;CHL;Chile;BOX(-109.453724739 -55.9185042229998,-66.4208064439999 -17.506588198)
41;CHN;China;BOX(73.6022563070002 15.775376695,134.772579387 53.569444479)
42;CIV;Cote d'Ivoire;BOX(-8.61871984899992 4.34406159100013,-2.50632808399993 10.7264781700001)
43;CMR;Cameroon;BOX(8.50505618600005 1.65455129000014,16.2077234290001 13.081140646)
44;COD;Democratic Republic of the Congo;BOX(12.2105548693531 -13.4583505239999,31.2804468180001 5.37528025300014)
45;COG;Republic of Congo;BOX(11.1140163040629 -5.01963083599986,18.64240686 3.70827606200005)
46;COK;Cook Islands;BOX(-165.824533658 -21.9388973939999,-157.312814908 -8.94670989399988)
47;COL;Colombia;BOX(-81.72370358 -4.23648447699985,-66.8750605879999 13.5783552100001)
48;COM;Comoros;BOX(43.2132267590002 -12.3803036439999,44.5290633470001 -11.3612606749999)
49;CPV;Cape Verde;BOX(-25.3604223299999 14.8039411480001,-22.6665746739999 17.196600653)
50;CRI;Costa Rica;BOX(-87.1176651679999 5.51508209800012,-82.5628368739999 11.2099370320002)
51;CUB;Cuba;BOX(-84.9496150379999 19.827826239,-74.1328832669999 23.2655703800001)
52;CUW;Curacao;BOX(-69.1717423169999 12.041327216,-68.7397354809999 12.3915062520001)
53;CYM;Cayman Islands;BOX(-81.4165420209999 19.2638636150001,-79.7266426919999 19.7576308370001)
54;CYP;Cyprus;BOX(32.2717391290002 34.6250194300001,34.0991317070001 35.1870821302553)
55;CZE;Czech Republic;BOX(12.076140991 48.557915752,18.8374337160001 51.0400123090001)
56;DEU;Germany;BOX(5.85248986800011 47.271120911,15.0220593670001 55.065334377)
57;DJI;Djibouti;BOX(41.7491101480001 10.9298249310001,43.4187117850001 12.7079125020001)
58;DMA;Dominica;BOX(-61.4889216789999 15.201808986,-61.2492569649999 15.6338565120001)
59;DNK;Denmark;BOX(8.09400475400008 54.5685895850001,15.1513778000001 57.7511660830001)
60;DOM;Dominican Republic;BOX(-72.0098376059999 17.5455589860001,-68.3286026679999 19.9376895200001)
61;DZA;Algeria;BOX(-8.68238521299992 18.9755612180001,11.9688607170001 37.0939395200001)
62;ECU;Ecuador;BOX(-92.0115860669999 -5.01137257899988,-75.2272639579999 1.66437409100016)
63;EGY;Egypt;BOX(24.6883427320001 21.9943692020002,36.8991805350002 31.6564802100001)
64;ERI;Eritrea;BOX(36.4236470950001 12.3600218710001,43.1238712900001 18.004828192)
65;ESP;Spain;BOX(-18.1672257149999 27.6422386740001,4.3370874360001 43.793443101)
66;EST;Estonia;BOX(21.8323673840001 57.5158185830001,28.1864754640001 59.6708845070001)
67;ETH;Ethiopia;BOX(32.9897998450001 3.40333343500009,47.9791691490001 14.8795321660001)
68;FIN;Finland;BOX(20.62316451 59.811224677,31.5695247800001 70.0753103640001)
69;FJI;Fiji;BOX(-180 -21.7111141909999,180 -12.4752743469999)
70;FLK;Falkland Islands;BOX(-61.3181860019999 -52.4065227259999,-57.7342830069999 -51.0277645809999)
239;FRA;France;BOX(-4.78490149599986 41.365912177,9.55958092500009 51.0875408834804)
71;FRO;Faeroe Islands;BOX(-7.64415442599994 61.3941104190001,-6.27578691299991 62.3989118510001)
72;FSM;Federated States of Micronesia;BOX(138.063812696 0.918158270000148,163.046560092 9.77558014500013)
73;GAB;Gabon;BOX(8.69556725400014 -3.93685618990304,14.4989905190001 2.32249501600009)
74;GBR;United Kingdom;BOX(-13.6913142569999 49.9096133480001,1.77116946700002 60.84788646)
75;GEO;Georgia;BOX(39.9859763554231 41.0441108200001,46.6948031010001 43.5758425900001)
76;GGY;Guernsey;BOX(-2.67345130099989 49.4115664730001,-2.17031816299993 49.731390692)
77;GHA;Ghana;BOX(-3.26250931799999 4.7371279970001,1.18796838400004 11.162937317)
78;GIB;Gibraltar;BOX(-5.35838675876349 36.1105003930001,-5.33877348311998 36.1411196720123)
79;GIN;Guinea;BOX(-15.0811254549999 7.19020823200012,-7.66244746999996 12.673387757)
240;GLP;Guadeloupe;BOX(-61.7978409499999 15.8469912780002,-60.9892471999999 16.513088283)
80;GMB;The Gambia;BOX(-16.8297013009999 13.0650088560001,-13.8187125249999 13.8199844360001)
81;GNB;Guinea-Bissau;BOX(-16.7284367771401 10.9276390650001,-13.6607118329999 12.6794339000001)
82;GNQ;Equatorial Guinea;BOX(5.61198978000007 -1.47568124799986,11.3363411870001 3.77240631700012)
83;GRC;Greece;BOX(19.6264754570001 34.8150088560001,28.2397567070001 41.7504759730001)
84;GRD;Grenada;BOX(-61.7905167309999 12.0028343770001,-61.4216202459999 12.5297305360001)
85;GRL;Greenland;BOX(-73.0572403639999 59.792629299,-11.3768204419999 83.6341006530001)
86;GTM;Guatemala;BOX(-92.2462338320825 13.7289030478944,-88.2209221351212 17.8160195930001)
241;GUF;French Guiana;BOX(-54.6152921149999 2.11067332000013,-51.649037239 5.74476537500011)
87;GUM;Guam;BOX(144.624196811 13.2410342470001,144.95215905 13.6541201840001)
88;GUY;Guyana;BOX(-61.396712809 1.18582021100013,-56.4818190109999 8.55801015800012)
89;HKG;Hong Kong;BOX(113.837331576 22.177069403,114.40129642 22.5639460320001)
90;HMD;Heard I. and McDonald Islands;BOX(73.236013217 -53.1925595029999,73.8121850920001 -52.9616024719999)
91;HND;Honduras;BOX(-89.3637912599999 12.9797773240001,-83.1304418609999 17.4186465520001)
92;HRV;Croatia;BOX(13.5014754570001 42.4163272160001,19.4078381750001 46.5469790650001)
93;HTI;Haiti;BOX(-74.4891658189999 18.0259463560001,-71.6391108809999 20.08978913)
94;HUN;Hungary;BOX(16.0940352780001 45.741343486,22.8776005460001 48.5692328900001)
95;IDN;Indonesia;BOX(95.0127059250001 -10.9226213519998,140.977626994 5.9101016300001)
96;IMN;Isle of Man;BOX(-4.79015051999994 54.0569522160001,-4.3119197259999 54.4190127620001)
97;IND;India;BOX(68.1434025400001 6.74555084800015,97.3622530520001 35.4954055790001)
98;IOT;British Indian Ocean Territory;BOX(71.260996941 -7.43222421699987,72.4946395190001 -5.22698333099991)
99;IRL;Ireland;BOX(-10.4781794909999 51.4457054710001,-5.99351966099994 55.386379299)
100;IRN;Iran;BOX(44.0148633220001 25.0594081650001,63.3196281330001 39.7715269980001)
101;IRQ;Iraq;BOX(38.7745113520001 29.063136699,48.5592554050001 37.3754975380001)
102;ISL;Iceland;BOX(-24.539906379 63.3967145850001,-13.5029190749999 66.564154364)
103;ISR;Israel;BOX(34.2483508570001 29.4896914730001,35.8880725500002 33.4067217000001)
104;ITA;Italy;BOX(6.60272831200007 35.489243882,18.5174259770001 47.085214945)
105;JAM;Jamaica;BOX(-78.3746638659999 17.70319245,-76.1879776679999 18.525091864)
106;JEY;Jersey;BOX(-2.24201412699992 49.1713320980001,-2.00829016799992 49.267035223)
107;JOR;Jordan;BOX(34.949385116681 29.189950664,39.2919991450001 33.3716850790001)
108;JPN;Japan;BOX(122.938161655 24.212103583,153.985606316 45.5204125020001)
109;KAZ;Kazakhstan;BOX(46.478278849 40.5846556600001,87.3237960210001 55.4345502730001)
110;KEN;Kenya;BOX(33.8904683840002 -4.67750416499996,41.8850191650001 5.03037582260775)
111;KGZ;Kyrgyzstan;BOX(69.2262960200001 39.1892369590001,80.2575606690001 43.2617015580001)
112;KHM;Cambodia;BOX(102.313423706 10.4157736200001,107.610516399 14.7045816050001)
113;KIR;Kiribati;BOX(-174.543405728 -11.4611141909999,176.850922071 4.7230899110001)
114;KNA;Saint Kitts and Nevis;BOX(-62.8610733709999 17.1005313170001,-62.5367732409999 17.4158389340001)
115;KOR;Republic of Korea;BOX(124.613617384 33.197577216,131.862521886 38.6243307589749)
