country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,36.82418,37.40354,334.22,0.6,0.7,2024-10-13,926,N,VIIRS,n,2.0NRT,301.54,3.33,D
TUR,36.86301,37.32182,338.87,0.6,0.71,2024-10-13,926,N,VIIRS,n,2.0NRT,301.77,3.44,D
TUR,36.87683,39.10592,335.74,0.49,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,297.45,4.39,D
TUR,36.87987,39.10763,330.22,0.49,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,296.96,4.02,D
TUR,37.06065,40.26492,367.0,0.42,0.61,2024-10-13,926,N,VIIRS,h,2.0NRT,300.48,10.42,D
TUR,37.12222,41.63873,333.62,0.36,0.57,2024-10-13,926,N,VIIRS,l,2.0NRT,304.57,13.94,D
TUR,37.12323,41.64271,350.03,0.36,0.57,2024-10-13,926,N,VIIRS,n,2.0NRT,309.23,13.94,D
TUR,37.12424,41.64667,367.0,0.36,0.57,2024-10-13,926,N,VIIRS,h,2.0NRT,314.88,45.4,D
TUR,37.12503,41.71537,353.44,0.35,0.57,2024-10-13,926,N,VIIRS,n,2.0NRT,306.26,10.67,D
TUR,37.12702,41.63704,367.0,0.36,0.57,2024-10-13,926,N,VIIRS,h,2.0NRT,304.65,6.99,D
TUR,37.12732,41.63677,352.51,0.36,0.57,2024-10-13,926,N,VIIRS,n,2.0NRT,304.25,6.32,D
TUR,37.12806,41.64101,351.17,0.36,0.57,2024-10-13,926,N,VIIRS,n,2.0NRT,305.99,6.99,D
TUR,37.12833,41.64076,352.46,0.36,0.57,2024-10-13,926,N,VIIRS,n,2.0NRT,305.93,6.32,D
TUR,37.1291,41.64497,350.09,0.35,0.57,2024-10-13,926,N,VIIRS,n,2.0NRT,304.84,7.48,D
TUR,37.12934,41.64472,348.7,0.36,0.57,2024-10-13,926,N,VIIRS,n,2.0NRT,304.61,6.97,D
TUR,37.13009,41.71337,367.0,0.35,0.57,2024-10-13,926,N,VIIRS,h,2.0NRT,307.28,10.67,D
TUR,37.14706,41.7799,352.1,0.35,0.57,2024-10-13,926,N,VIIRS,n,2.0NRT,306.72,3.55,D
TUR,37.14737,41.54254,331.56,0.36,0.57,2024-10-13,926,N,VIIRS,l,2.0NRT,305.22,2.34,D
TUR,37.15211,41.77792,367.0,0.35,0.57,2024-10-13,926,N,VIIRS,h,2.0NRT,305.9,6.31,D
TUR,37.16271,39.9095,331.14,0.44,0.62,2024-10-13,926,N,VIIRS,l,2.0NRT,302.01,3.97,D
TUR,37.16683,41.63912,339.41,0.35,0.57,2024-10-13,926,N,VIIRS,n,2.0NRT,306.37,3.88,D
TUR,37.2142,42.44544,337.28,0.32,0.55,2024-10-13,926,N,VIIRS,n,2.0NRT,303.58,1.44,D
TUR,37.22585,42.39128,333.8,0.32,0.55,2024-10-13,926,N,VIIRS,l,2.0NRT,308.46,1.95,D
TUR,37.24816,41.30629,367.0,0.37,0.58,2024-10-13,926,N,VIIRS,h,2.0NRT,304.74,15.87,D
TUR,37.25572,39.93529,332.71,0.43,0.62,2024-10-13,926,N,VIIRS,l,2.0NRT,302.96,1.87,D
TUR,37.25705,39.93606,336.69,0.43,0.62,2024-10-13,926,N,VIIRS,n,2.0NRT,302.5,3.16,D
TUR,37.3273,38.76278,339.26,0.49,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,300.44,3.29,D
TUR,37.32808,38.71976,345.31,0.5,0.66,2024-10-13,926,N,VIIRS,n,2.0NRT,301.34,4.69,D
TUR,37.32948,38.72163,336.11,0.5,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,301.28,6.0,D
TUR,37.338,39.77805,332.44,0.44,0.62,2024-10-13,926,N,VIIRS,l,2.0NRT,302.84,4.54,D
TUR,37.39354,39.22161,330.84,0.47,0.64,2024-10-13,926,N,VIIRS,l,2.0NRT,301.58,5.11,D
TUR,37.39487,39.04627,337.7,0.48,0.64,2024-10-13,926,N,VIIRS,n,2.0NRT,301.0,4.66,D
TUR,37.42021,39.85321,336.59,0.43,0.62,2024-10-13,926,N,VIIRS,n,2.0NRT,302.23,2.87,D
TUR,37.46267,37.25601,330.13,0.58,0.7,2024-10-13,926,N,VIIRS,n,2.0NRT,297.84,8.8,D
TUR,37.47594,37.18674,336.03,0.59,0.7,2024-10-13,926,N,VIIRS,n,2.0NRT,298.38,4.97,D
TUR,37.47604,37.18472,338.65,0.59,0.7,2024-10-13,926,N,VIIRS,n,2.0NRT,298.13,6.29,D
TUR,37.57443,38.79747,347.15,0.48,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,300.48,6.8,D
TUR,37.57589,38.80266,335.68,0.48,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,300.17,7.19,D
TUR,37.57688,38.79893,348.85,0.48,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,299.88,7.54,D
TUR,37.59999,38.81181,332.07,0.48,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,299.29,3.17,D
TUR,37.64565,39.27464,352.31,0.46,0.63,2024-10-13,926,N,VIIRS,n,2.0NRT,302.45,26.54,D
TUR,37.64711,39.2798,367.0,0.46,0.63,2024-10-13,926,N,VIIRS,h,2.0NRT,307.71,26.54,D
TUR,37.65272,39.2774,332.63,0.46,0.63,2024-10-13,926,N,VIIRS,n,2.0NRT,302.49,6.84,D
TUR,37.65424,39.39429,335.66,0.45,0.63,2024-10-13,926,N,VIIRS,n,2.0NRT,301.69,2.85,D
TUR,37.65911,38.58125,353.3,0.49,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,301.03,6.9,D
TUR,37.66315,38.57922,344.2,0.49,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,298.6,6.21,D
TUR,37.68909,38.61733,333.21,0.49,0.65,2024-10-13,926,N,VIIRS,n,2.0NRT,301.46,2.51,D
TUR,37.69499,40.63426,338.7,0.39,0.59,2024-10-13,926,N,VIIRS,n,2.0NRT,301.75,3.85,D
