country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,36.87078,39.43056,355.03,0.32,0.55,2024-10-07,939,N,VIIRS,n,2.0NRT,309.3,5.8,D
TUR,36.96403,39.67683,337.73,0.62,0.54,2024-10-07,939,N,VIIRS,l,2.0NRT,308.97,5.79,D
TUR,36.96635,40.09642,335.7,0.59,0.53,2024-10-07,939,N,VIIRS,n,2.0NRT,303.37,4.74,D
TUR,37.16162,41.69426,344.42,0.48,0.48,2024-10-07,939,N,VIIRS,n,2.0NRT,312.48,5.91,D
TUR,37.16282,41.69959,349.6,0.48,0.48,2024-10-07,939,N,VIIRS,n,2.0NRT,315.03,5.91,D
TUR,37.16715,41.69812,348.44,0.48,0.48,2024-10-07,939,N,VIIRS,n,2.0NRT,316.28,5.91,D
TUR,37.16947,41.69455,344.08,0.48,0.48,2024-10-07,939,N,VIIRS,n,2.0NRT,317.17,19.04,D
TUR,37.1707,41.69992,345.58,0.48,0.48,2024-10-07,939,N,VIIRS,n,2.0NRT,316.18,19.04,D
TUR,37.17148,41.69662,357.05,0.48,0.48,2024-10-07,939,N,VIIRS,n,2.0NRT,317.8,23.51,D
TUR,37.25455,42.64049,339.72,0.43,0.46,2024-10-07,939,N,VIIRS,n,2.0NRT,314.53,7.29,D
TUR,37.2597,42.64394,367.0,0.43,0.46,2024-10-07,939,N,VIIRS,h,2.0NRT,318.23,22.27,D
TUR,37.26897,42.44318,353.43,0.44,0.46,2024-10-07,939,N,VIIRS,n,2.0NRT,318.92,7.77,D
TUR,37.28437,42.41166,345.65,0.44,0.46,2024-10-07,939,N,VIIRS,n,2.0NRT,315.08,4.54,D
TUR,37.13528,39.47044,341.34,0.63,0.54,2024-10-07,941,N,VIIRS,n,2.0NRT,306.25,4.62,D
TUR,37.29449,39.28054,334.72,0.32,0.55,2024-10-07,941,N,VIIRS,l,2.0NRT,304.91,2.4,D
TUR,37.29541,39.28421,349.34,0.32,0.54,2024-10-07,941,N,VIIRS,n,2.0NRT,305.79,3.53,D
TUR,37.39299,38.63963,352.08,0.34,0.56,2024-10-07,941,N,VIIRS,n,2.0NRT,301.14,4.69,D
TUR,37.44304,39.07114,343.97,0.32,0.55,2024-10-07,941,N,VIIRS,n,2.0NRT,298.31,4.39,D
TUR,37.44393,39.07464,367.0,0.32,0.55,2024-10-07,941,N,VIIRS,h,2.0NRT,304.72,4.39,D
TUR,37.4444,41.45689,352.53,0.49,0.48,2024-10-07,941,N,VIIRS,n,2.0NRT,314.65,22.36,D
TUR,37.44535,39.07316,367.0,0.32,0.55,2024-10-07,941,N,VIIRS,h,2.0NRT,303.16,6.52,D
TUR,37.47579,39.47469,334.96,0.62,0.54,2024-10-07,941,N,VIIRS,l,2.0NRT,309.12,5.5,D
TUR,37.49319,38.65831,338.87,0.34,0.56,2024-10-07,941,N,VIIRS,n,2.0NRT,307.78,2.76,D
TUR,37.49823,38.65649,341.55,0.34,0.56,2024-10-07,941,N,VIIRS,n,2.0NRT,305.09,2.76,D
TUR,37.58295,37.38514,342.95,0.39,0.6,2024-10-07,941,N,VIIRS,n,2.0NRT,304.85,3.7,D
TUR,37.59758,40.39299,340.52,0.55,0.51,2024-10-07,941,N,VIIRS,n,2.0NRT,307.67,4.42,D
TUR,37.60196,40.24341,345.64,0.56,0.51,2024-10-07,941,N,VIIRS,n,2.0NRT,310.26,15.1,D
TUR,37.60262,40.24134,353.07,0.56,0.51,2024-10-07,941,N,VIIRS,n,2.0NRT,309.01,13.51,D
TUR,37.60582,38.4915,343.07,0.34,0.56,2024-10-07,941,N,VIIRS,n,2.0NRT,303.87,3.42,D
TUR,37.62539,38.13168,331.13,0.36,0.57,2024-10-07,941,N,VIIRS,l,2.0NRT,304.88,1.15,D
TUR,37.6423,40.23955,338.67,0.56,0.51,2024-10-07,941,N,VIIRS,n,2.0NRT,306.82,6.18,D
TUR,37.65154,38.29844,367.0,0.35,0.57,2024-10-07,941,N,VIIRS,h,2.0NRT,306.27,10.99,D
TUR,37.6525,38.30218,340.7,0.35,0.57,2024-10-07,941,N,VIIRS,n,2.0NRT,304.38,8.95,D
TUR,37.73114,38.80227,336.29,0.33,0.55,2024-10-07,941,N,VIIRS,n,2.0NRT,306.55,1.85,D
TUR,37.73819,38.28989,335.7,0.35,0.57,2024-10-07,941,N,VIIRS,n,2.0NRT,301.02,2.77,D
TUR,37.75153,40.19115,333.36,0.56,0.51,2024-10-07,941,N,VIIRS,l,2.0NRT,307.56,4.84,D
TUR,37.75488,40.44072,337.09,0.54,0.51,2024-10-07,941,N,VIIRS,l,2.0NRT,307.29,5.74,D
TUR,37.81795,38.86793,347.73,0.33,0.55,2024-10-07,941,N,VIIRS,n,2.0NRT,304.38,4.48,D
TUR,37.81881,38.87138,347.32,0.33,0.55,2024-10-07,941,N,VIIRS,n,2.0NRT,304.51,5.89,D
TUR,37.83705,40.25659,342.81,0.55,0.51,2024-10-07,941,N,VIIRS,n,2.0NRT,307.01,5.18,D
TUR,37.83841,40.2542,338.81,0.55,0.51,2024-10-07,941,N,VIIRS,n,2.0NRT,307.04,9.95,D
TUR,37.87946,38.86365,332.73,0.32,0.55,2024-10-07,941,N,VIIRS,n,2.0NRT,305.68,1.49,D
TUR,37.92241,40.95249,339.43,0.51,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,312.18,4.05,D
TUR,37.93905,40.44678,342.12,0.54,0.51,2024-10-07,941,N,VIIRS,n,2.0NRT,307.94,7.22,D
TUR,37.94052,40.45297,346.91,0.54,0.5,2024-10-07,941,N,VIIRS,n,2.0NRT,309.66,12.49,D
TUR,37.95665,39.97308,331.64,0.57,0.52,2024-10-07,941,N,VIIRS,l,2.0NRT,303.71,1.66,D
TUR,37.96181,40.83318,343.52,0.51,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,312.26,8.93,D
TUR,37.99787,41.05213,335.36,0.5,0.49,2024-10-07,941,N,VIIRS,l,2.0NRT,309.37,1.92,D
TUR,38.00347,40.9452,343.07,0.5,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,311.1,11.7,D
TUR,38.00692,40.94629,355.69,0.5,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,318.91,28.81,D
TUR,38.00788,40.94363,347.29,0.5,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,313.7,11.7,D
TUR,38.00918,40.94916,343.01,0.5,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,310.89,11.7,D
TUR,38.05357,40.91429,340.63,0.5,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,310.05,4.33,D
TUR,38.05794,40.91257,340.4,0.5,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,312.08,4.33,D
TUR,38.05931,40.91849,343.46,0.5,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,310.23,4.33,D
TUR,38.07924,40.88069,342.47,0.51,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,310.89,8.29,D
TUR,38.08049,40.88614,344.85,0.51,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,312.36,8.29,D
TUR,38.10915,40.84216,349.71,0.51,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,312.09,7.54,D
TUR,38.11972,41.32349,340.12,0.48,0.48,2024-10-07,941,N,VIIRS,n,2.0NRT,311.07,5.22,D
TUR,38.12651,41.33274,340.42,0.48,0.48,2024-10-07,941,N,VIIRS,n,2.0NRT,308.07,7.19,D
TUR,38.12777,41.33825,342.91,0.48,0.48,2024-10-07,941,N,VIIRS,n,2.0NRT,309.1,8.57,D
TUR,38.13177,40.93864,339.22,0.5,0.49,2024-10-07,941,N,VIIRS,l,2.0NRT,310.64,4.23,D
TUR,38.1432,40.94682,336.78,0.5,0.49,2024-10-07,941,N,VIIRS,l,2.0NRT,310.88,3.34,D
TUR,38.1642,40.74896,340.72,0.51,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,311.73,3.85,D
TUR,38.17309,36.95169,345.66,0.4,0.6,2024-10-07,941,N,VIIRS,n,2.0NRT,299.69,7.01,D
TUR,38.1743,36.95619,351.79,0.4,0.6,2024-10-07,941,N,VIIRS,n,2.0NRT,301.79,7.01,D
TUR,38.17544,40.24868,335.76,0.54,0.51,2024-10-07,941,N,VIIRS,l,2.0NRT,310.29,2.48,D
TUR,38.21932,40.71449,344.37,0.51,0.49,2024-10-07,941,N,VIIRS,n,2.0NRT,311.99,4.25,D
TUR,38.28437,37.08121,333.99,0.39,0.59,2024-10-07,941,N,VIIRS,n,2.0NRT,300.78,5.1,D
TUR,38.30308,36.97622,332.79,0.4,0.6,2024-10-07,941,N,VIIRS,n,2.0NRT,302.57,1.9,D
TUR,38.34208,43.24429,333.56,0.57,0.43,2024-10-07,941,N,VIIRS,l,2.0NRT,306.55,2.89,D
TUR,38.41167,36.9841,350.62,0.39,0.6,2024-10-07,941,N,VIIRS,n,2.0NRT,306.38,5.44,D
TUR,38.76345,41.75809,341.73,0.44,0.46,2024-10-07,941,N,VIIRS,n,2.0NRT,308.13,3.77,D
TUR,39.04283,37.63161,337.78,0.35,0.57,2024-10-07,941,N,VIIRS,n,2.0NRT,298.3,3.36,D
TUR,39.26268,37.19133,356.4,0.36,0.58,2024-10-07,941,N,VIIRS,n,2.0NRT,299.53,6.19,D
TUR,39.45889,36.98606,354.02,0.37,0.58,2024-10-07,941,N,VIIRS,n,2.0NRT,302.12,6.59,D
TUR,39.46052,36.98469,353.06,0.37,0.58,2024-10-07,941,N,VIIRS,n,2.0NRT,300.95,5.3,D
TUR,39.9548,43.95113,345.68,0.5,0.41,2024-10-07,941,N,VIIRS,n,2.0NRT,308.13,15.94,D
TUR,39.9812,41.80768,329.89,0.41,0.45,2024-10-07,941,N,VIIRS,l,2.0NRT,302.88,3.95,D
TUR,40.01687,44.08111,334.21,0.49,0.4,2024-10-07,941,N,VIIRS,n,2.0NRT,301.87,4.36,D
TUR,40.04301,34.8766,339.94,0.45,0.63,2024-10-07,941,N,VIIRS,n,2.0NRT,303.65,3.68,D
TUR,40.04445,34.88159,333.87,0.45,0.63,2024-10-07,941,N,VIIRS,n,2.0NRT,302.61,5.84,D
TUR,40.11327,34.96804,330.5,0.45,0.63,2024-10-07,941,N,VIIRS,l,2.0NRT,302.5,2.65,D
TUR,40.18282,35.9784,335.46,0.4,0.6,2024-10-07,941,N,VIIRS,n,2.0NRT,301.04,4.05,D
TUR,40.52542,36.91839,333.37,0.35,0.57,2024-10-07,941,N,VIIRS,n,2.0NRT,303.23,2.0,D
TUR,40.8282,39.2258,332.05,0.53,0.5,2024-10-07,941,N,VIIRS,n,2.0NRT,294.63,4.27,D
TUR,36.85973,31.15764,335.26,0.41,0.45,2024-10-07,1119,N,VIIRS,n,2.0NRT,303.37,2.82,D
TUR,37.16779,41.70033,344.2,0.77,0.77,2024-10-07,1119,N,VIIRS,n,2.0NRT,307.03,11.25,D
TUR,37.16787,41.70922,356.89,0.77,0.77,2024-10-07,1119,N,VIIRS,l,2.0NRT,306.78,11.25,D
TUR,37.38737,39.07651,335.08,0.56,0.68,2024-10-07,1119,N,VIIRS,l,2.0NRT,305.89,2.74,D
TUR,37.41737,38.1039,344.98,0.49,0.65,2024-10-07,1119,N,VIIRS,n,2.0NRT,304.08,3.95,D
TUR,37.56051,37.39031,330.68,0.45,0.63,2024-10-07,1119,N,VIIRS,l,2.0NRT,304.99,3.1,D
TUR,37.56637,37.38937,351.12,0.45,0.63,2024-10-07,1119,N,VIIRS,n,2.0NRT,304.78,5.28,D
TUR,37.58375,37.38192,330.02,0.45,0.63,2024-10-07,1119,N,VIIRS,l,2.0NRT,303.86,2.91,D
TUR,37.60228,37.4004,367.0,0.45,0.63,2024-10-07,1119,N,VIIRS,h,2.0NRT,304.88,9.51,D
TUR,37.62152,28.4402,330.12,0.47,0.4,2024-10-07,1119,N,VIIRS,n,2.0NRT,303.51,2.06,D
TUR,37.74693,38.39602,330.92,0.51,0.66,2024-10-07,1119,N,VIIRS,l,2.0NRT,305.12,3.93,D
TUR,37.74714,38.40195,336.98,0.51,0.66,2024-10-07,1119,N,VIIRS,n,2.0NRT,305.09,3.93,D
TUR,37.75313,38.3954,338.41,0.51,0.66,2024-10-07,1119,N,VIIRS,n,2.0NRT,305.33,3.93,D
TUR,37.75334,38.40127,350.78,0.51,0.66,2024-10-07,1119,N,VIIRS,n,2.0NRT,302.84,3.93,D
TUR,37.77445,34.89526,344.76,0.33,0.55,2024-10-07,1119,N,VIIRS,n,2.0NRT,299.98,3.39,D
