country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
TUR,41.24394,36.46225,300.65,0.68,0.74,2024-10-10,39,N,VIIRS,n,2.0NRT,287.27,1.56,N
TUR,41.24413,36.46517,301.74,0.68,0.74,2024-10-10,39,N,VIIRS,n,2.0NRT,287.15,2.19,N
TUR,37.89367,34.877,315.3,0.73,0.76,2024-10-10,41,N,VIIRS,n,2.0NRT,278.06,6.02,N
TUR,37.89894,34.8844,316.28,0.73,0.76,2024-10-10,41,N,VIIRS,n,2.0NRT,278.73,5.07,N
TUR,38.4276,27.21898,299.01,0.58,0.52,2024-10-10,41,N,VIIRS,n,2.0NRT,288.47,0.75,N
TUR,38.65657,30.61735,302.83,0.42,0.61,2024-10-10,41,N,VIIRS,n,2.0NRT,281.6,1.67,N
TUR,38.73736,26.94437,309.18,0.55,0.51,2024-10-10,41,N,VIIRS,n,2.0NRT,291.16,2.34,N
TUR,38.74032,26.93208,310.59,0.55,0.51,2024-10-10,41,N,VIIRS,n,2.0NRT,289.31,2.48,N
TUR,38.74644,26.94804,312.86,0.55,0.51,2024-10-10,41,N,VIIRS,n,2.0NRT,289.08,2.78,N
TUR,38.74813,26.94917,309.05,0.55,0.51,2024-10-10,41,N,VIIRS,n,2.0NRT,289.25,2.55,N
TUR,39.48306,30.04048,308.8,0.38,0.58,2024-10-10,41,N,VIIRS,n,2.0NRT,281.34,1.71,N
TUR,41.17265,32.62917,296.55,0.45,0.63,2024-10-10,41,N,VIIRS,n,2.0NRT,283.27,1.37,N
TUR,41.25742,31.4139,307.32,0.39,0.6,2024-10-10,41,N,VIIRS,n,2.0NRT,283.74,2.43,N
TUR,41.26661,31.4236,310.15,0.39,0.6,2024-10-10,41,N,VIIRS,n,2.0NRT,286.51,2.98,N
TUR,41.79726,26.70372,300.56,0.45,0.47,2024-10-10,41,N,VIIRS,n,2.0NRT,285.51,0.69,N
